R-RMNY,PAGE,URL
0199-RMNY-0357,0023,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0002.html
0945-RMNY-0357,0024,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0003.html
0101-RMNY-0351,0314,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0320.html
0144-RMNY-0351,0407,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0415.html
0511-RMNY-0351,0234,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0240.html
0867-RMNY-0351,0033,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0037.html
0629-RMNY-0351,0369,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0379.html
0634-RMNY-0458,0000,http://mek.oszk.hu/12000/12022/html/RMK_I_0165_0001.html
0683-RMNY-0351,0121,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0128.html
0692-RMNY-0956,0000,http://mek.oszk.hu/12100/12140/html/RMK_I_0362_0001.html
0819-RMNY-0351,0004,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0008.html
1015-RMNY-0348,0000,http://mek.oszk.hu/12000/12046/html/RMK_I_0109_0001.html
1024-RMNY-0357,0027,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0004.html
1065-RMNY-0468,0000,http://mek.oszk.hu/12000/12027/html/RMK_I_0174_0001.html
1065-RMNY-0351,0088,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0094.html
1244-RMNY-0351,0216,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0222.html
1245-RMNY-0351,0140,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0146.html
1247-RMNY-0351,0445,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0453.html
1250-RMNY-0439,0000,http://mek.oszk.hu/12000/12023/html/RMK_I_0156_0001.html
1270-RMNY-0351,0073,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0078.html
1270-RMNY-0468,0000,http://mek.oszk.hu/12000/12027/html/RMK_I_0174_0001.html
1287-RMNY-0438,0000,http://mek.oszk.hu/12000/12030/html/RMK_I_0155_0001.html
1334-RMNY-0351,0203,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0209.html
1381-RMNY-0351,0253,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0259.html
1389-RMNY-1059,0043,http://mek.oszk.hu/12500/12575/html/rmk-1_443.html
0057-RMNY-0303,0000,http://mek.oszk.hu/11900/11991/html/RMK_I_0338_0001.html
