R-RMNY,PAGE,URL
0017-RMNY-0353,0097,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_105.html
1404-RMNY-0353,0103,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_112.html
0104-RMNY-0353,0109,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_118.html
1348-RMNY-0353,0113,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_121.html
0905-RMNY-0353,0124,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_133.html
0906-RMNY-0353,0126,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_135.html
3501-RMNY-0353,0169,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_178.html
1444-RMNY-0353,0185,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_194.html
1445-RMNY-0353,0189,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_197.html
0899-RMNY-0353,0231,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_240.html
2018-RMNY-0353,0296,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_305.html
3506-RMNY-0353,0299,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_307.html
3505-RMNY-0353,0309,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_318.html
0926-RMNY-0353,0016,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_387.html
1193-RMNY-0353,0036,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_406.html
0171-RMNY-0353,0043,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_415.html
0199-RMNY-0353,0045,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_417.html
0963-RMNY-0353,0055,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_426.html
0979-RMNY-0353,0058,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_429.html
0900-RMNY-0353,0062,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_433.html
0863-RMNY-0353,0064,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_436.html
1150-RMNY-0353,0068,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_439.html
0195-RMNY-0353,0077,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_449.html
1417-RMNY-0353,0080,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_452.html
1160-RMNY-0353,0082,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_453.html
0075-RMNY-0353,0082,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_453.html
0142-RMNY-0353,0082,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_454.html
0968-RMNY-0353,0083,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_455.html
0960-RMNY-0353,0084,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_455.html
0207-RMNY-0353,0084,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_456.html
0214-RMNY-0353,0085,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_456.html
0879-RMNY-0353,0086,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_458.html
1298-RMNY-0353,0093,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_465.html
1366-RMNY-0353,0095,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_466.html
1439-RMNY-0353,0097,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_469.html
1215-RMNY-0353,0101,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_474.html
1219-RMNY-0353,0109,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_482.html
0025-RMNY-0353,0110,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_483.html
0059-RMNY-0353,0125,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_497.html
0943-RMNY-0353,0092,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_464.html
0154-RMNY-0353,0068,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_440.html
0199-RMNY-0357,0023,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0002.html
0945-RMNY-0357,0024,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0003.html
0061-RMNY-0353,0108,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_480.html
0062-RMNY-0353,0011,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_381.html
0065-RMNY-0353,0102,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_110.html
0068-RMNY-0353,0075,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_444.html
0074-RMNY-0353,0073,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_446.html
0083-RMNY-0353,0001,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_371.html
0085-RMNY-0353,0145,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_153.html
0094-RMNY-0353,0027,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_397.html
0101-RMNY-0351,0314,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0320.html
0139-RMNY-0353,0126,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_499.html
0144-RMNY-0351,0407,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0415.html
0202-RMNY-0353,0078,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_450.html
0219-RMNY-0353,0022,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_393.html
0222-RMNY-0353,0347,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_364.html
0235-RMNY-0353,0269,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_277.html
0243-RMNY-0353,0190,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_199.html
0252-RMNY-0353,0006,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_376.html
0258-RMNY-0353,0183,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_192.html
0261-RMNY-0385,0000,http://mek.oszk.hu/12200/12277/html/RMK_1_0128_0001.html
0271-RMNY-0671,0148,http://mek.oszk.hu/12600/12639/html/rmk-1_249_0316.html
