1/0355C,12400/12441
2/0443,12500/12575
1/0658,12500/12583
1/0249,12600/12639
1/0271,12600/12654
1/0471A,15100/15146
1/0856,13600/13640
1/0332,08800/08838
1/0094,11900/11957
1/0208,03600/03614
1/0112,12500/12523
0017,12200/12273
0080,12200/12278
0109,12200/12294
0353,08800/08838
0540,03600/03614
0327,11900/11957
0303,11900/11991
0348,12000/12046
0350,12000/12050
0359,12000/12036
0385,12200/12277
0386,12200/12272
0437,12000/12045
0438,12000/12030
0439,12000/12023
0441,12000/12035
0458,12000/12022
0460,12000/12031
0461,12200/12282
0468,12000/12027
0492,12000/12039
0493,12000/12020
0510,12000/12019
0858,12200/12281
0869,12200/12295
0956,12100/12140
0351,12500/12523
0357,12400/12441
1059,12500/12575
1643,12500/12583
0671,12600/12639
0729,12600/12654
0356B,15100/15146
2381,13600/13640
1/0007,12200/12273
1/0033,12200/12294
1/0094,11900/11957
1/0109,12000/12046
1/0111,12000/12050
1/0117,12000/12036
1/0128,12200/12277
1/0131,12200/12272
1/0154,12000/12045
1/0155,12000/12030
1/0156,12000/12023
1/0159,12000/12035
1/0165,12000/12022
1/0166,12000/12031
1/0168,12300/12373
1/0174,12000/12027
1/0181,12000/12039
1/0182,12000/12020
1/0193,12000/12019
1/0208,03600/03614
1/0210,12100/12124
1/0243,12300/12387
1/0255,12300/12388
1/0257,12700/12742
1/0258,12600/12640
1/0280,12300/12374
1/0298,12500/12550
1/0311,12200/12281
1/0315,12200/12295
1/0317,12600/12680
1/0322,12200/12278
1/0327,12600/12681
1/0332,08800/08838
1/0338,11900/11991
1/0343,12200/12282
1/0358,12500/12594
1/0362,12100/12140
1/0363,12100/12139
1/0403,12700/12774
1/0405,12700/12770
1/0430,12700/12741
1/0482,12500/12549
1/0652,12500/12580
1/0786,12400/12442
1/1188,12700/12757
1/0872,13600/13645
0017,12200/12273
0080,12200/12278
0109,12200/12294
0299,12400/12450
0303,11900/11991
0327,11900/11957
0348,12000/12046
0350,12000/12050
0353,08800/08838
0359,12000/12036
0385,12200/12277
0386,12200/12272
0437,12000/12045
0438,12000/12030
0439,12000/12023
0441,12000/12035
0458,12000/12022
0460,12000/12031
0461,12200/12282
0465,12300/12373
0468,12000/12027
0492,12000/12039
0493,12000/12020
0510,12000/12019
0531,12100/12124
0540,03600/03614
0662,12300/12387
0683,12300/12388
0774,12300/12374
0858,12200/12281
0869,12200/12295
0956,12100/12140
0686,12700/12742
0687,12600/12640
0815,12500/12550
0820,12600/12680
0945,12700/12774
0952,12700/12770
0953,12500/12594
0954,12600/12681
0957,12100/12139
0998,12700/12741
1102,12700/12728
1166,12500/12549
1629,12500/12580
1118,12700/12757
1213,13600/13641
2472,13600/13645
