rmny.docBibNum,rmny.path
0017,12200/12273
0080,12200/12278
0109,12200/12294
0353,08800/08838
0540,03600/03614
0327,11900/11957
0303,11900/11991
0348,12000/12046
0350,12000/12050
0359,12000/12036
0385,12200/12277
0386,12200/12272
0437,12000/12045
0438,12000/12030
0439,12000/12023
0441,12000/12035
0458,12000/12022
0460,12000/12031
0461,12200/12282
0468,12000/12027
0492,12000/12039
0493,12000/12020
0510,12000/12019
0858,12200/12281
0869,12200/12295
0956,12100/12140
0351,12500/12523
0357,12400/12441
1059,12500/12575
1643,12500/12583
0671,12600/12639
0729,12600/12654
0356b,15100/15146
2381,13600/13640
